Gene Symbol	CHR	Start	end	Strand	Ensembl ID	Gene Type	Also Known As	Cytogenetic Region	Description	Summary
FAM228A	chr2	24175069	24200849	+	ENSG00000186453.12	protein_coding	C2orf84	2p23.3	family with sequence similarity 228 member A	Biased expression in testis (RPKM 10.6) and fat (RPKM 1.0)
FAM228B	chr2	24076526	24169640	+	ENSG00000219626.8	protein_coding	-	2p23.3	family with sequence similarity 228 member B	-
FAM229A	chr1	32361270	32364278	-	ENSG00000225828.1	protein_coding	-	1p35.1	family with sequence similarity 229 member A	-
FAM229B	chr6	112087599	112102790	+	ENSG00000203778.7	protein_coding	C6orf225	6q21	family with sequence similarity 229 member B	Biased expression in testis (RPKM 37.5), brain (RPKM 9.0) and 10 other tissues
FAM234A	chr16	234546	268971	+	ENSG00000167930.15	protein_coding	C16orf9|ITFG3|gs19	16p13.3	family with sequence similarity 234 member A	Ubiquitous expression in duodenum (RPKM 28.7), fat (RPKM 21.1) and 25 other tissues
FAM234B	chr12	13044284	13142521	+	ENSG00000084444.13	protein_coding	KIAA1467	12p13.1	family with sequence similarity 234 member B	Broad expression in brain (RPKM 13.4), skin (RPKM 6.0) and 20 other tissues
FAM238A	chr10	 26589865	26594324	+	ENSG00000233261	ncRNA	C10orf50|LINC00264|NCRNA00264|bA128B16.2	10p12.1	family with sequence similarity 238 member A	Restricted expression toward testis (RPKM 7.7)
FAM241A	chr4	 112145454	112195256	+	ENSG00000174749	protein-coding	C4orf32	4q25	family with sequence similarity 241 member A	Ubiquitous expression in fat (RPKM 33.5), placenta (RPKM 13.6) and 23 other tissues
FAM241B	chr10	 69630247	69633596	+	ENSG00000171224	protein-coding	C10orf35	10q22.1	family with sequence similarity 241 member B	Broad expression in brain (RPKM 5.1), testis (RPKM 3.6) and 24 other tissues
FAM25C	chr10	47995355	47999791	-	ENSG00000276430.2	protein_coding	bA164N7.4	10q11.22	family with sequence similarity 25 member C	Biased expression in skin (RPKM 22.8), esophagus (RPKM 4.1) and 2 other tissues
FAM27E3	chr9	67717411	67719178	-	ENSG00000274026.1	transcribed_processed_pseudogene	-	9q21.11	family with sequence similarity 27 member E3	-
FAM30A	chr14	105917979	105932642	+	ENSG00000226777.7	lincRNA	C14orf110|HSPC053|KIAA0125	14q32.33	family with sequence similarity 30 member A	-
FAM32A	chr19	16185380	16192046	+	ENSG00000105058.11	protein_coding	OTAG-12|OTAG12	19p13.11	family with sequence similarity 32 member A	Ubiquitous expression in duodenum (RPKM 31.4), small intestine (RPKM 30.9) and 25 other tissues
FAM3B	chr21	41304212	41357431	+	ENSG00000183844.16	protein_coding	2-21|C21orf11|C21orf76|ORF9|PANDER|PRED44	21q22.3	FAM3 metabolism regulating signaling molecule B	Biased expression in duodenum (RPKM 47.4), small intestine (RPKM 44.3) and 11 other tissues
FAM3C	chr7	121348851	121396364	-	ENSG00000196937.10	protein_coding	GS3786|ILEI	7q31.31	FAM3 metabolism regulating signaling molecule C	This gene is a member of the family with sequence similarity 3 (FAM3) family and encodes a secreted protein with a GG domain. A change in expression of this protein has been noted in pancreatic cancer-derived cells. [provided by RefSeq, Mar 2010]
FAM3D	chr3	58633946	58666848	-	ENSG00000198643.6	protein_coding	EF7|OIT1	3p14.2	FAM3 metabolism regulating signaling molecule D	Biased expression in colon (RPKM 146.4), salivary gland (RPKM 60.2) and 6 other tissues
FAM43A	chr3	194686544	194689037	+	ENSG00000185112.5	protein_coding	-	3q29	family with sequence similarity 43 member A	-
FAM43B	chr1	20552439	20555010	+	ENSG00000183114.7	protein_coding	-	1p36.12	family with sequence similarity 43 member B	-
FAM47E	chr4	76214040	76283780	+	ENSG00000189157.13	protein_coding	-	4q21.1	family with sequence similarity 47 member E	-
FAM47E-STBD1	chr4	76251721	76311129	+	ENSG00000272414.5	protein_coding	FAM47E	4q21.1	FAM47E-STBD1 readthrough	This locus represents naturally occurring read-through transcription between the neighboring FAM47E (family with sequence similarity 47, member E) and STBD1 (starch binding domain 1) genes on chromosome 4. The read-through transcript encodes a protein that shares sequence identity with the upstream gene product but its C-terminal region is distinct due to frameshifts relative to the downstream gene. [provided by RefSeq, Jul 2011]
FAM50A	chrX	154444126	154450654	+	ENSG00000071859.14	protein_coding	9F|DXS9928E|HXC-26|HXC26|MRXSA|XAP5	Xq28	family with sequence similarity 50 member A	This gene belongs to the FAM50 family. The encoded protein is highly conserved in length and sequence across different species. It is a basic protein containing a nuclear localization signal, and may function as a DNA-binding protein or a transcriptional factor. [provided by RefSeq, Sep 2009]
FAM53A	chr4	1617915	1684302	-	ENSG00000174137.12	protein_coding	DNTNP	4p16.3	family with sequence similarity 53 member A	Broad expression in testis (RPKM 2.2), thyroid (RPKM 0.5) and 15 other tissues
FAM53B	chr10	124619292	124744269	-	ENSG00000189319.13	protein_coding	KIAA0140|bA12J10.2|smp	10q26.13	family with sequence similarity 53 member B	Ubiquitous expression in lymph node (RPKM 17.7), spleen (RPKM 12.7) and 23 other tissues
FAM53B-AS1	chr10	124703625	124714217	+	ENSG00000233334.3	antisense	-	10q26.13	FAM53B antisense RNA 1	-
FAM53C	chr5	138331935	138349729	+	ENSG00000120709.10	protein_coding	C5orf6	5q31.2	family with sequence similarity 53 member C	The protein encoded by this gene belongs to the FAM53 protein family. FAM53 protein family members bind to a transcriptional regulator that modulates cell proliferation. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2017]
FAM66A	chr8	12362019	12388296	+	ENSG00000227888.4	lincRNA	-	8p23.1	family with sequence similarity 66 member A	-
FAM66D	chr8	12115782	12177550	+	ENSG00000255052.4	antisense	-	8p23.1	family with sequence similarity 66 member D	-
FAM66E	chr8	7955014	8008755	+	ENSG00000225725.4	lincRNA	-	8p23.1	family with sequence similarity 66 member E	-
FAM71A	chr1	212624474	212626778	+	ENSG00000162771.7	protein_coding	GARI-L4	1q32.3	family with sequence similarity 71 member A	This gene encodes a protein that interacts with the Rab2B small GTPase and may be important for integrity of the Golgi body. A knockdown of this gene induces fragmentation of the Golgi, similar to the effect seen with a knockdown of the Rab2B small GTPase. The encoded protein has an N-terminal Rab-binding domain specific for Rab2B. [provided by RefSeq, Feb 2017]
FAM71E2	chr19	55354908	55363260	-	ENSG00000180043.11	protein_coding	C19orf16	19q13.42	family with sequence similarity 71 member E2	Restricted expression toward testis (RPKM 16.6)
FAM72B	chr1	121167646	121185539	-	ENSG00000188610.12	protein_coding	p17	1p11.2	family with sequence similarity 72 member B	Broad expression in lymph node (RPKM 6.0), appendix (RPKM 3.2) and 17 other tissues
FAM72C	chr1	143955364	143971965	-	ENSG00000263513.5	protein_coding	-	1q21.1	family with sequence similarity 72 member C	-
FAM72D	chr1	145096000	145112696	+	ENSG00000215784.5	protein_coding	GCUD2	1q21.1	family with sequence similarity 72 member D	Note: There is a set of highly related genes in the FAM72 set. This instance was annotated as FAM72A in Build 36.2, based on the evaluation that AB096683, used at that time to define FAM72A, aligned best to AL109844.  The definition of FAM72A was changed to the locus on CR407567.2, so this locus was renamed. [13 Feb 2013]
FAM76A	chr1	27725979	27763122	+	ENSG00000009780.15	protein_coding	-	1p35.3	family with sequence similarity 76 member A	-
FAM76B	chr11	95768942	95790409	-	ENSG00000077458.12	protein_coding	-	11q21	family with sequence similarity 76 member B	-
FAM78A	chr9	131258076	131276547	-	ENSG00000126882.12	protein_coding	C9orf59	9q34.13	family with sequence similarity 78 member A	Broad expression in lymph node (RPKM 10.3), spleen (RPKM 9.5) and 20 other tissues
FAM78B	chr1	166057426	166166969	-	ENSG00000188859.6	protein_coding	-	1q24.1	family with sequence similarity 78 member B	-
FAM81A	chr15	59372693	59523549	+	ENSG00000157470.11	protein_coding	-	15q22.2	family with sequence similarity 81 member A	-
FAM83B	chr6	54846771	54942022	+	ENSG00000168143.8	protein_coding	C6orf143	6p12.1	family with sequence similarity 83 member B	Biased expression in skin (RPKM 10.9), esophagus (RPKM 6.8) and 12 other tissues
FAM83C	chr20	35285731	35292401	-	ENSG00000125998.7	protein_coding	C20orf128|dJ614O4.7	20q11.22	family with sequence similarity 83 member C	This gene encodes a member of the family with sequence similarity 83 protein family. The encoded protein may be involved in regulating MAPK signaling in cancer cells. [provided by RefSeq, Mar 2017]
FAM83D	chr20	38926312	38953106	+	ENSG00000101447.14	protein_coding	C20orf129|CHICA|dJ616B8.3	20q11.23	family with sequence similarity 83 member D	Biased expression in esophagus (RPKM 30.9), urinary bladder (RPKM 8.3) and 13 other tissues
FAM83E	chr19	48600810	48614854	-	ENSG00000105523.3	protein_coding	-	19q13.33	family with sequence similarity 83 member E	-
FAM83F	chr22	39994949	40043529	+	ENSG00000133477.16	protein_coding	-	22q13.1	family with sequence similarity 83 member F	-
FAM83H	chr8	143723933	143733801	-	ENSG00000180921.6	protein_coding	AI3|AI3A	8q24.3	family with sequence similarity 83 member H	The protein encoded by this gene plays an important role in the structural development and calcification of tooth enamel. Defects in this gene are a cause of amelogenesis imperfecta type 3 (AI3). [provided by RefSeq, Mar 2010]
FAM85A	chr8	 12185736	12202526	+	-	ncRNA	-	8p23.1	family with sequence similarity 85 member A	-
FAM85B	chr8	8167819	8226614	-	ENSG00000253893.2	antisense	lncRNA-HEIM	8p23.1	family with sequence similarity 85 member B	-
FAM86B1	chr8	12182096	12194133	-	ENSG00000186523.14	protein_coding	-	8p23.1	family with sequence similarity 86 member B1	-
FAM86B2	chr8	12425614	12436343	-	ENSG00000145002.12	protein_coding	-	8p23.1	family with sequence similarity 86 member B2	-
FAM86B3P	chr8	8228595	8244865	+	ENSG00000173295.7	transcribed_unprocessed_pseudogene	-	8p23.1	family with sequence similarity 86, member A pseudogene	Low expression observed in reference dataset
FAM86C1P	chr11	 71787514	71799661	+	ENSG00000158483	unknown	FAM86C|FAM86C1	11q13.4	family with sequence similarity 86 member C1, pseudogene	-
FAM86DP	chr3	75421552	75435110	-	ENSG00000244026.6	transcribed_unprocessed_pseudogene	FAM86D	3p12.3	family with sequence similarity 86 member D, pseudogene	Ubiquitous expression in ovary (RPKM 4.4), endometrium (RPKM 3.2) and 25 other tissues
FAM86GP	chr11	3410352	3422496	-	ENSG00000166492.9	unprocessed_pseudogene	-	11p15.4	family with sequence similarity 86, member A pseudogene	-
FAM86JP	chr3	125916620	125930024	+	ENSG00000171084.15	transcribed_unprocessed_pseudogene	-	3q21.2	family with sequence similarity 86, member A pseudogene	Broad expression in testis (RPKM 1.9), ovary (RPKM 1.5) and 25 other tissues
FAM89A	chr1	231018958	231040246	-	ENSG00000182118.7	protein_coding	C1orf153	1q42.2	family with sequence similarity 89 member A	Broad expression in fat (RPKM 41.2), placenta (RPKM 38.9) and 17 other tissues
FAM89B	chr11	65572349	65574198	+	ENSG00000176973.7	protein_coding	LRAP25|MTVR|MTVR1	11q13.1	family with sequence similarity 89 member B	Ubiquitous expression in ovary (RPKM 17.3), prostate (RPKM 15.4) and 25 other tissues
FAM8A1	chr6	17600355	17611719	+	ENSG00000137414.5	protein_coding	AHCP	6p22.3	family with sequence similarity 8 member A1	Ubiquitous expression in liver (RPKM 21.6), endometrium (RPKM 17.3) and 25 other tissues
FAM90A1	chr12	8221260	8227618	-	ENSG00000171847.10	protein_coding	-	12p13.31	family with sequence similarity 90 member A1	Low expression observed in reference dataset
FAM90A10P	chr8	7768977	7771988	+	ENSG00000254597.1	unprocessed_pseudogene	FAM90A10	8p23.1	putative protein FAM90A10	FAM90A10
FAM90A20P	chr8	7295014	7298024	+	ENSG00000233295.3	unprocessed_pseudogene	FAM90A20	8p23.1	putative protein FAM90A20	FAM90A20
FAM90A25P	chr8	12415080	12418090	-	ENSG00000251402.3	unprocessed_pseudogene	-	8p23.1	family with sequence similarity 90 member A25, pseudogene	-
FAM90A27P	chr19	53281559	53284944	+	ENSG00000189348.6	transcribed_unprocessed_pseudogene	-	19q13.42	family with sequence similarity 90 member A27, pseudogene	-
FAM90A2P	chr8	12172761	12175771	-	ENSG00000205879.5	unprocessed_pseudogene	-	8p23.1	family with sequence similarity 90 member A2, pseudogene	-
FAM91A1	chr8	123768456	123815452	+	ENSG00000176853.15	protein_coding	-	8q24.13	family with sequence similarity 91 member A1	-
FAM98A	chr2	33583658	33599382	-	ENSG00000119812.18	protein_coding	-	2p22.3	family with sequence similarity 98 member A	-
FAM98C	chr19	38403135	38409088	+	ENSG00000130244.12	protein_coding	-	19q13.2	family with sequence similarity 98 member C	-
FAM99A	chr11	1665597	1667856	+	ENSG00000205866.3	lincRNA	-	11p15.5	family with sequence similarity 99 member A	-
FAM99B	chr11	1683269	1685629	-	ENSG00000205865.4	antisense	-	11p15.5	family with sequence similarity 99 member B	-
FAN1	chr15	30903852	30943108	+	ENSG00000198690.9	protein_coding	KIAA1018|KMIN|MTMR15|hFAN1	15q13.3	FANCD2 and FANCI associated nuclease 1	This gene plays a role in DNA interstrand cross-link repair and encodes a protein with 5 flap endonuclease and 5-3 exonuclease activity. Mutations in this gene cause karyomegalic interstitial nephritis. Alternatively spliced transcript variants encoding distinct isoforms have been described. [provided by RefSeq, Feb 2016]
FANCA	chr16	89737549	89816657	-	ENSG00000187741.14	protein_coding	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	16q24.3	FA complementation group A	The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group A. Alternative splicing results in multiple transcript variants encoding different isoforms. Mutations in this gene are the most common cause of Fanconi anemia. [provided by RefSeq, Jul 2008]
FANCC	chr9	95099054	95426796	-	ENSG00000158169.12	protein_coding	FA3|FAC|FACC	9q22.32	FA complementation group C	The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group C. [provided by RefSeq, Jul 2008]
FANCD2	chr3	10026414	10101930	+	ENSG00000144554.10	protein_coding	FA-D2|FA4|FACD|FAD|FAD2|FANCD	3p25.3	FA complementation group D2	The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group D2. This protein is monoubiquinated in response to DNA damage, resulting in its localization to nuclear foci with other proteins (BRCA1 AND BRCA2) involved in homology-directed DNA repair. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016]
